Sentence,"Aspect Term","True Polarity",Gemini_Polarity
"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",display,positive,Positive
"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.","battery life",positive,Positive
"But the quality, in general was less than the worth of the cheap laptop.",quality,negative,Negative
"In the first moth of owning this computer its hardrive failed which had to be replaced.",hardrive,negative,Negative
"Its also FUN to use!",use,positive,Positive
"The graphics and screen are stunning and although I was a PC person, I was able to understand how to use a mac fairly quickly.",graphics,positive,Positive
"The graphics and screen are stunning and although I was a PC person, I was able to understand how to use a mac fairly quickly.",screen,positive,Positive
"WIth the upgraded memory, the MacBook Pro never has an issue running many many applications at once!","upgraded memory",positive,Positive
"WIth the upgraded memory, the MacBook Pro never has an issue running many many applications at once!",applications,neutral,Positive
"WIth the upgraded memory, the MacBook Pro never has an issue running many many applications at once!",running,positive,Positive
"Simple to use, and great graphics.",graphics,positive,Positive
"Simple to use, and great graphics.",use,positive,Positive
"The internet speed is spectacular.","internet speed",positive,Positive
"They claim call center is still down.","call center",negative,Negative
"Mac also has many apps and programs that are quite cheap or free.",apps,positive,Positive
"Mac also has many apps and programs that are quite cheap or free.",programs,positive,Positive
"My husband uses it mostly for games, email and music.",games,neutral,Neutral
"I just took the broken cords into the Apple store and they gave me new ones.",cords,positive,Positive
"Apparently under the screen there are 2 little screws and when the screen gets moved back and forth, they come loose.",screen,neutral,Negative
"Apparently under the screen there are 2 little screws and when the screen gets moved back and forth, they come loose.",screen,neutral,Negative
"Apparently under the screen there are 2 little screws and when the screen gets moved back and forth, they come loose.",screen,neutral,Negative
"Apparently under the screen there are 2 little screws and when the screen gets moved back and forth, they come loose.",screen,neutral,Negative
"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OS,neutral,Positive
"The computer will constantly be getting hot and burning your leg unless you go through the hassle of taking off the entire back of it just to clean out the fan.",fan,negative,Negative
"I have in the past gotten superfine sandpaper and "fixed" the edges by rounding them off.",edges,negative,Negative
"Downfalls: sharp edges.",edges,negative,Negative
"i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.",carry,neutral,Positive
"The screen is gorgeous - yummy good.",screen,positive,Positive
"Did I mention everything about it, from size to weight to keyboard screams BULK?",size,negative,Negative
"Did I mention everything about it, from size to weight to keyboard screams BULK?",weight,negative,Negative
"Did I mention everything about it, from size to weight to keyboard screams BULK?",keyboard,negative,Negative
"I had it four months when my disc drive refused to open.","disc drive",negative,Negative
"So, after Apple replaced the hard drive I enjoyed another 4 months of my new computer, until it froze this morning--completely.","hard drive",neutral,Negative
"Once again, I was told it was the suspicious  power supply  problem.","power supply",negative,NULL
"The Macbook starts fast, doesn't crash, has a fantastic display, is small and light (I have the 13.3" model), and isn't always complaining about updates, lost connections, errors, blue screens, etc.",display,positive,Positive
"The Macbook starts fast, doesn't crash, has a fantastic display, is small and light (I have the 13.3" model), and isn't always complaining about updates, lost connections, errors, blue screens, etc.",starts,positive,Positive
"Unable to boot up this brand new laptop.","boot up",negative,Negative
"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.",Pages,positive,Positive
"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.",Keynotes,positive,Positive
"Â I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!","hard drive",negative,NULL
"Â I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!","mother board",negative,NULL
"Â I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!","dvd drive",negative,NULL
"The guy then said that if I insist on having the hinge tightened, they can do it for me but I have to accept the condition after the "repair".",hinge,neutral,Negative
"The port is secured to motherboard so when this  happens you can't see the plug at all, it's just gone.",motherboard,neutral,NULL
"The port is secured to motherboard so when this  happens you can't see the plug at all, it's just gone.",port,neutral,NULL
"The port is secured to motherboard so when this  happens you can't see the plug at all, it's just gone.",plug,negative,NULL
"I love the feel of the key board, as well as the trackpad.","key board",positive,Positive
"I love the feel of the key board, as well as the trackpad.",trackpad,positive,Positive
"Now I have the best of both worlds with all of the power and ease of the Mac!",power,positive,Positive
"Now I have the best of both worlds with all of the power and ease of the Mac!",ease,positive,Positive
"Ease of use is just one of the benefits I love about my Mac.",use,positive,Positive
"Ease of use is just one of the benefits I love about my Mac.",use,positive,Positive
#NAME?,Touchpad,neutral,NULL
"Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.","connection card",neutral,Negative
"Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.",warranty,negative,Negative
"Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.",warranty,negative,Negative
"Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.",warranty,negative,Negative
"Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.",warranty,negative,Negative
"But, buy this model and just purchase 4GB of RAM (2x2GB for $92 or 1x4GB for $99), and save yourself $100 than the other model with 8GB of RAM.","4GB of RAM",neutral,Neutral
"But, buy this model and just purchase 4GB of RAM (2x2GB for $92 or 1x4GB for $99), and save yourself $100 than the other model with 8GB of RAM.","8GB of RAM",neutral,Neutral
"If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.",game,neutral,Negative
"Browsing, also, was no problem for me when I used itunes ( which usually slows down my PC ).",Browsing,positive,Positive
"Browsing, also, was no problem for me when I used itunes ( which usually slows down my PC ).",itunes,positive,Neutral
"Again, decent comp for the price, and I was in need of one quickly as my other laptop died on me.",price,positive,Positive
"so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop.",setup,negative,Negative
"My friend just had to replace his entire motherboard, so did my wife, and it looks like I will have to as well.",motherboard,negative,Negative
"Â  Toshiba customer services will indirectly deal with your problems by constantly tranferring you from one country to another, and I am not kidding you, I called different hours of the day and you'll get someone else from another country trying to get you to tell them your life story all over again, since they make it sound like they don't have your history list of your calls right in front of them.","Toshiba customer services",negative,NULL
"Quality Display  I was surprised with the performance and quality of this HP Laptop.","Quality Display",positive,NULL
"Quality Display  I was surprised with the performance and quality of this HP Laptop.",performance,positive,NULL
"Quality Display  I was surprised with the performance and quality of this HP Laptop.",quality,positive,NULL
"The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.","battery life",negative,Negative
"The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.","battery life",negative,Negative
"The internet capabilities are also very strong and picks up signals very easily.","internet capabilities",positive,Positive
"Its fast, has High definition quality in the videos.","High definition quality",positive,Positive
"Speakers don't get that loud, but good enough.",Speakers,conflict,Neutral
"Another Great thing is the Beast graphics.","Beast graphics",positive,Positive
"The ease of set up was terrific.","set up",positive,Positive
"Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.","wall charger",neutral,Positive
"Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.",battery,positive,Positive
"Screen is crystal clear, yes it's small - but it's a netbook!",Screen,conflict,Positive
"The battery life is probably an hour at best.","battery life",negative,Negative
"This is a review of windows vista system.","windows vista system",neutral,Neutral
"cosmetically, the only thing they changed was 2 of the Function keys at the top.","Function keys",neutral,Neutral
"But sadly the replacement froze-up while updating the BIOS again and shut down and would not turn back on.",BIOS,negative,Negative
"Â  There's literally no way to make it sing with Vista.",Vista,negative,NULL
"Screen size is perfect for portable use in any environment.","Screen size",positive,Positive
"First, it does not have a push button to open the lid.","push button",negative,Negative
"First, it does not have a push button to open the lid.",lid,neutral,Negative
"I used to build my own desktops from the component parts, and recently my 7 year old Pentium 4 with HT 1 GB ram SATA desktop stopped working (this was a rock star 7 years ago).","Pentium 4",neutral,Neutral
"I used to build my own desktops from the component parts, and recently my 7 year old Pentium 4 with HT 1 GB ram SATA desktop stopped working (this was a rock star 7 years ago).","1 GB ram",neutral,Neutral
"I now realize that my $900 would have been better spent on a Windows laptop.",Windows,positive,Positive
") And printing from either word processor is an adventure.","word processor",negative,Negative
"After purchasing this thing, I find out that I need a special interface device to connect my camera, and that it cannot be purchased at the store - only on line.","interface device",negative,Negative
"Another included program that is laughable is the chess game.","included program",negative,Negative
"Yes, I thought the expese was a little much, but I now realize you get what you pay for.",expese,negative,Positive
"It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.","Microsoft Office apps",positive,Positive
"It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.","internet use",positive,Positive
"The price was very good, and the product is top quality.",price,positive,Positive
"The price was very good, and the product is top quality.",quality,positive,Positive
"It played various games without problems and ran aero smoothly and flawlessly.",games,neutral,Positive
"It played various games without problems and ran aero smoothly and flawlessly.",aero,neutral,Positive
"After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.","hard drive",neutral,NULL
"After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.",battery,negative,NULL
"Â  The screen almost looked like a barcode when it froze.",screen,negative,NULL
"From the get-go, the M6809 was unsteady in its operation;",operation,negative,Negative
"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get everything done.",screen,positive,Positive
"It even has a great webcam, and Skype works very well.",webcam,positive,Positive
"It even has a great webcam, and Skype works very well.",Skype,positive,Positive
"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.","machined aluminum frame",positive,Positive
"I love the solid machined aluminum frame, and the keyboard is the best of any laptop I've used.",keyboard,positive,Positive
"You can even run a parallels type program easily and run any leftover PC software that you absolutely cannot be without.","parallels type program",positive,Positive
"You can even run a parallels type program easily and run any leftover PC software that you absolutely cannot be without.",software,positive,Positive
"This computer I used daily nice compact design.",design,positive,Positive
"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.","ATI graphics card",positive,Positive
"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.","Intel built-in card",positive,Neutral
"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.",games,neutral,Positive
"It was hard to handle and operate at school.",handle,negative,Negative
"It was hard to handle and operate at school.",operate,negative,Negative
"It has easy to use features and all the speed and power I could ask for.",features,positive,Positive
"It has easy to use features and all the speed and power I could ask for.",speed,positive,Positive
"It has easy to use features and all the speed and power I could ask for.",power,positive,Positive
"My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.","power supply cord",negative,Negative
"My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.","Applecare warranty plan",positive,Positive
"I preferred the fit and feel of the 13 inch.","13 inch",positive,Positive
"power supply went bad after 2 weeks --","power supply",negative,Negative
"The screen takes some getting use to, because it is smaller than the laptop.",screen,negative,Negative
"I regret buying it before understanding how awful it is to use.",use,negative,Negative
"The right speaker did not work.","right speaker",negative,Negative
"Â  Dealing with the support drone on the other end of the chat was sheer torture.",support,negative,NULL
"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.","Final Cut Pro",positive,Positive
"The computer runs extremely slowly, whether opening Word or My Computer.",runs,negative,Negative
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.","Mac Snow Leopard O/S",positive,Positive
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.","Win XP",neutral,Neutral
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",Visa,neutral,Neutral
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",Win7,neutral,Neutral
"The Mac Snow Leopard O/S is extremely easy to use, although very different than Win XP, Visa or Win7.",use,positive,Positive
"Startup in about 30 seconds, shutdown in 2-4 seconds, resume from sleep in 0-2 seconds.",Startup,neutral,Positive
"Startup in about 30 seconds, shutdown in 2-4 seconds, resume from sleep in 0-2 seconds.",shutdown,neutral,Positive
"Startup in about 30 seconds, shutdown in 2-4 seconds, resume from sleep in 0-2 seconds.","resume from sleep",neutral,Positive
"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",screen,positive,Positive
"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",keyboard,positive,Positive
"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",fit,positive,Positive
"I have only had PCs with Windows before so this takes a little getting use to.",Windows,neutral,Neutral
"super fast processor and really nice graphics card..",processor,positive,Positive
"super fast processor and really nice graphics card..","graphics card",positive,Positive
"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.",size,positive,Positive
"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.","external keyboard",neutral,Neutral
"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.",mouse,neutral,Neutral
"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.",monitor,neutral,Neutral
"The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.","windows 7 system",negative,Negative
"I dislike the weight and size, cubersome.",weight,negative,Negative
"I dislike the weight and size, cubersome.",size,negative,Negative
"The wheel that turns the volume up and down doesn't work in real time.",wheel,negative,Negative
"I cannot be happier with the service or product.",service,positive,Positive
"I do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.","flatline keyboard",positive,Positive
"Speakers doesn't sound that great.",Speakers,negative,Negative
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.","windows 7",positive,Positive
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",ergonomics,negative,Negative
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",connections,negative,Negative
"After numerous calls to Applecare tech support, I was directed to send in my computer;","Applecare tech support",negative,Neutral
"The "abuse" is that I pushed the power plug in too hard.","power plug",negative,Neutral
"The resolution on the screen is almost pure HD.","resolution on the screen",positive,Positive
"With all the programs that came with it, such as iLife and iWork, I was set from the very beginning.",programs,neutral,Positive
"With all the programs that came with it, such as iLife and iWork, I was set from the very beginning.",iLife,neutral,Positive
"With all the programs that came with it, such as iLife and iWork, I was set from the very beginning.",iWork,neutral,Positive
"Not sure how I recommend it for quality gaming, as I have a desktop rig for that reason.",gaming,negative,Neutral
"Great value, fast delivery- Computer works as if brand new, no problems, very pleased",delivery,positive,Positive
"Great value, fast delivery- Computer works as if brand new, no problems, very pleased",value,positive,Positive
"The Internet Explorer was very slow from the very beginning.","Internet Explorer",negative,Negative
"The AC power port becomes loose over time","AC power port",negative,Negative
"As a user of a PC, I will will admit that the macBook Pro has a better running system in which I found myself "Getting the job done quicker.","running system",positive,Positive
"There are no gold key numbers too intall programs, you must use the serial numbers that it does not accept and then things are limited as far a working because they are only good for a short time.",programs,negative,Negative
"and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.","power supply",positive,Negative
"and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.","power supply",positive,Positive
"and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.","power supply",negative,Negative
"and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.","power supply",negative,Positive
"Enjoy that Toshib force and durability unparalleled",force,positive,Positive
"Enjoy that Toshib force and durability unparalleled",durability,positive,Positive
"Which is great I am running Vista Business and scored a 5.X on the index I have never seen a windows machine have a total score in the 5's.","Vista Business",positive,Positive
"I use the computer to basically check emails, surf the web, print coupons and for my college papers.","surf the web",neutral,Neutral
"We love the size of the screen, although it is still lightweight and very easy to tote around.","size of the screen",positive,Positive
"We love the size of the screen, although it is still lightweight and very easy to tote around.",tote,positive,Positive
"so the fact that the computer does not work on the 24 twenty fourth day is my fault.",work,negative,Negative
"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.",use,positive,Positive
"Â  the battery is irreplaceable.",battery,negative,NULL
"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.","Win 7",positive,Positive
"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.","2GB stick of memory",positive,Positive
"I have never really been big on downloading anything so I wasn't too worried about getting a virus, plus I thought I was protected by Norton.",Norton,negative,Neutral
"The internet was locekd and froze every time it was trying to be used, and the command prompt would not work at all.",internet,negative,Negative
"The internet was locekd and froze every time it was trying to be used, and the command prompt would not work at all.","command prompt",negative,Negative
"It's software and speed enable it to do amazing things.",software,positive,Positive
"It's software and speed enable it to do amazing things.",speed,positive,Positive
"Could not keep up with me and finally the hard drive went out.","hard drive",negative,Negative
"I am most impressed with the programming, including the iPhoto.",programming,positive,Positive
"I am most impressed with the programming, including the iPhoto.",iPhoto,positive,Positive
"Speakers too small to be of any real use.",Speakers,negative,Negative
"I upgraded it's RAM to 2GB, I am very happy with it.",RAM,positive,Positive
"I purchased a Toshiba Satellite M60 (with harman/kardon speakers!) in December of 2005.",speakers,positive,Neutral
"They should have included more memory on their computers if they knew Vista would run slowly.",memory,negative,Negative
"They should have included more memory on their computers if they knew Vista would run slowly.",Vista,negative,Negative
"Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!","Battery life",negative,Negative
"Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!",price,positive,Positive
"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",battery,negative,Negative
"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",charge,negative,Negative
"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",charge,negative,Negative
"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",charge,negative,Negative
"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",charge,negative,Negative
"Â  After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.",warrenty,neutral,NULL
"Â  After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.","hard drive",negative,NULL
"The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.","Windows 7 Starter",positive,Positive
"The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.","icon list",positive,Positive
"The neat and organized icon list is a welcome change from cluttered and confusing desktop icons.","desktop icons",negative,Negative
"I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.",warranty,negative,Neutral
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",price,positive,Positive
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",performance,positive,Positive
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",built,positive,Positive
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",look,positive,Positive
"The apple care has never failed me, and I expect it to be the same for this computer as well.","apple care",positive,Positive
"The Toshiba laptop I am using is easier to use than most I have tried.",use,positive,Positive
"So I called Compaq, and after being on the phone for 3 hours, i finally got a replacement which I shouldn't have had a problem getting since it was under warranty.",warranty,neutral,Negative
"So we exchanged it for the same on and after 2 hours it didn't work.",work,negative,Negative
"I love the size, keyboard, the functions.",size,positive,Positive
"I love the size, keyboard, the functions.",keyboard,positive,Positive
"I love the size, keyboard, the functions.",functions,positive,Positive
"the mouse is way way way to sensitve.",mouse,negative,Negative
"The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.",OS,positive,Positive
"The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.",run,positive,Positive
"Also, I issued a replacement RMA for a few dead pixels in the upper zone of the screen, which is noticable to me.",screen,negative,Negative
"After way too many times sending the thing in for repairs (delivery service was slow, and without the laptop I had no access to the internet, and thus no way of tracking it to find out when I might hope to see my computer again), it finally kicked the bucket after just over 2 years.","delivery service",negative,Negative
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",performance,positive,Positive
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.","picture quality",positive,Positive
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",use,positive,Positive
"the i3 processor doesn't seem to run hot and the fan rarely turns on.","i3 processor",positive,Positive
"the i3 processor doesn't seem to run hot and the fan rarely turns on.",fan,positive,Positive
"Â  The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",battery,negative,NULL
"Â  The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",charge,negative,NULL
"Â  The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",charge,negative,NULL
"Â  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",mousepad,neutral,NULL
"Â  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",keys,neutral,NULL
"Â  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",casing,neutral,NULL
"See when it comes to laptops you buy it and get just a normal operating system with trials of must need stuff that should come with it.","operating system",neutral,Neutral
"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.","resolution of the screen",negative,Negative
"The only thing I wish this had was the option to turn off the touchpad with a button like my big 16" laptop does.",touchpad,negative,Negative
"very convenient when you travel and the battery life is excellent...","battery life",positive,Positive
"Â  The machine is slow to boot up and occasionally crashes completely.","boot up",negative,NULL
"This is great if you have several lectures back to back and don't have a chance to charge during one of the lectures.",charge,positive,Positive
"I wish Toshiba would allow their customers to select an option that only boots the OS at setup and removes all the unnecessary stuff.",OS,neutral,Negative
"the screen brightness automatically adjusts.","screen brightness",neutral,Positive
"I especially like the backlit keyboard.","backlit keyboard",positive,Positive
"Besides the great look, it is a great machine.",look,positive,Positive
"My laptop cost approximately $2,300 and DIED after only 2-years, 10-months and 18-days of use.",cost,negative,Negative
"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.",sound,negative,Negative
"(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.)","SATA controller",neutral,Neutral
"(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.)","motherboard chip",neutral,Neutral
"(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.)",CPU,neutral,Neutral
"(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.)","hard drive",neutral,Neutral
"The buttons you have to press a little harder than most.",buttons,negative,Negative
"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.","battery life",negative,Negative
"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.",battery,neutral,Negative
"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.",battery,neutral,Negative
"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.",battery,negative,Negative
"The battery life was supposed to be 6 hours, but even if I ran off the battery with the high effeciency setting the battery would only last me on average about 2.5 to 3 hours.",battery,negative,Negative
"Right size and weight for portability.",size,positive,Positive
"Right size and weight for portability.",weight,positive,Positive
"Right size and weight for portability.",portability,positive,Positive
"The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.","battery life",negative,Negative
"The battery life also doesn't keep up with the claim but still I think macbook is much ahead from the rest of the pack.","battery life",negative,Negative
"Â  It was loaded with Windows Vista Home Premium--delivered with only 1GB of RAM, and it was a *dog*.","Windows Vista Home Premium",neutral,NULL
"Â  It was loaded with Windows Vista Home Premium--delivered with only 1GB of RAM, and it was a *dog*.","1GB of RAM",negative,NULL
"The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.",display,negative,Neutral
"The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.",brightness,neutral,Neutral
"My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.","electronic fuzz sound",negative,Negative
"My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.","headphone jack",negative,Negative
"While it was highly rated, would I like it? I tried the keyboard at the store, and it seemed ok.",keyboard,neutral,Neutral
"Treat yourself to a more expensive, long-lasting laptop of quality like a Sony, Apple, or Toshiba.",quality,positive,Positive
"I have had to call with a few questions or issues and they have helped me for free, even without the warranty.",warranty,neutral,Positive
"Was searching online for a power supply when I found this site.","power supply",neutral,Neutral
"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.",gaming,neutral,Neutral
"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.","graphics editing",neutral,Neutral
"But to be honest, I don't use my computer for anything like graphics editing and complex data analysis and gaming.","complex data analysis",neutral,Neutral
"Â  I would  rather spend my money on a computer that costs more then a Toshiba that  isn't good at all.",costs,negative,NULL
"(No problem with the ordering or shipping by the way.",shipping,positive,Positive
"And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.",ram,positive,Positive
"And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.",performance,positive,Positive
"And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.","surf the web",positive,Positive
"The one thing I wish it had was a detailed hardcopy manuel.","hardcopy manuel",negative,Negative
"I edit and burn to DVD a lot of video, so I obviously could not live with a non-functioning drive.",drive,negative,Negative
"Fast, great visual!",visual,positive,Positive
"It's priced very reasonable and works very well right out of the box.",priced,positive,Positive
"It's priced very reasonable and works very well right out of the box.",works,positive,Positive
"You will need them if you want to reload the OS (I recommend doing if you can to start fresh and optimal).",OS,neutral,Neutral
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",keyboard,positive,Neutral
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",plate,negative,Negative
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.","mouse command buttons",negative,Negative
"There are so many wonderful features and benefits to the new MacBook!",features,positive,Positive
"the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds.",speeds,positive,Positive
"The only thing i can say is that the touch pad doesnt work like it should all the time.","touch pad",negative,Negative
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",size,positive,Positive
"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",features,positive,Positive
